 3, Nearest Neighbor, Nearest Neighbor - 2-Opt, CPLEX - MIPStart - CallbackBase - CallbackRelax - PostingBase
pr200-96224627-2024-07-21, 118862.290867, 113071.573794, 108420.488495
pr300-96224627-2024-07-21, 150502.716481, 136739.946645, 128928.444648
pr400-96224627-2024-07-21, 179691.308177, 157399.121471, 149327.773784
pr500-96224627-2024-07-21, 197182.015590, 177193.156964, 167091.594150
pr600-96224627-2024-07-21, 214898.854977, 194430.692496, 182306.353834
pr700-96224627-2024-07-21, 229390.985981, 209604.923232, 194722.148832
pr800-96224627-2024-07-21, 242160.983497, 223585.588079, 209682.099693
pr900-96224627-2024-07-21, 261675.457956, 235587.852158, 220389.469185
pr1000-96224627-2024-07-21, 276439.133001, 249143.189840, 231761.558955
pr200-96192207-2024-07-21, 125548.347182, 115511.277429, 105725.447031
pr300-96192207-2024-07-21, 152676.798804, 136458.819486, 129012.374353
pr400-96192207-2024-07-21, 176576.054730, 155321.134344, 146839.281672
pr500-96192207-2024-07-21, 192000.245422, 172371.430682, 162724.447172
pr600-96192207-2024-07-21, 209775.227561, 189071.944738, 176920.106345
pr700-96192207-2024-07-21, 226616.399903, 208342.500646, 191757.266798
pr800-96192207-2024-07-21, 252426.907379, 223517.546833, 206328.645953
