 6, Benders' Loop, Glued Benders' Loop, CPLEX - CallbackBase, CPLEX - CallbackBase - CallbackRelax, CPLEX - CallbackBase - PostingBase, CPLEX - MIPStart - CallbackBase - CallbackRelax - PostingBase
pr200-93847516-2024-07-21, 9.128904, 9.612893, 1.815910, 1.662168, 1.345604, 1.174276
pr300-93847516-2024-07-21, 13.477655, 13.134121, 16.629001, 6.223060, 3.502382, 3.718818
pr400-93847516-2024-07-21, 34.983728, 35.210558, 33.357992, 43.609914, 18.411756, 19.456038
pr200-96192207-2024-07-21, 2.635717, 2.615400, 1.323465, 1.237918, 0.596891, 0.890580
pr300-96192207-2024-07-21, 7.249921, 7.508192, 2.761985, 8.813782, 2.636095, 2.862560
pr400-96192207-2024-07-21, 12.658534, 12.749287, 13.356864, 31.820254, 6.147143, 6.584072
pr500-96224627-2024-07-21, 242.955649, 243.610349, 191.709909, 176.077140, 39.576029, 12.732890
pr600-96224627-2024-07-21, 370.281077, 373.177997, 122.477178, 112.464766, 133.874641, 78.318664
pr500-96192207-2024-07-21, 47.913498, 48.394474, 94.493050, 67.633738, 16.886550, 14.666286
pr600-96192207-2024-07-21, 268.053893, 255.184640, 80.789996, 61.121849, 17.488610, 35.161716
pr500-93847516-2024-07-21, 31.142233, 31.378874, 37.869290, 213.460037, 21.855427, 12.063901
pr600-93847516-2024-07-21, 310.947722, 309.382802, 385.334557, 219.994078, 62.904765, 182.601612
pr700-96224627-2024-07-21, 73.549283, 75.818802, 57.932976, 43.188635, 29.557386, 37.707348
pr800-96224627-2024-07-21, 811.623645, 803.358448, 2057.125097, 983.002225, 189.502921, 200.923146
pr700-96192207-2024-07-21, 249.934484, 236.149801, 3824.125264, 215.214914, 78.415087, 137.834003
pr800-96192207-2024-07-21, 121.553360, 116.625646, 122.342885, 495.970460, 146.915790, 121.928574
pr700-93847516-2024-07-21, 178.082750, 200.978368, 475.318898, 683.486249, 108.110879, 166.914314
pr800-93847516-2024-07-21, 202.636137, 191.737037, 1576.238191, 2207.250916, 242.713736, 4885.263189
